onset	duration	sample	type	value
5.02734375	0	1288	trigger	201
7.02734375	0	1800	trigger	202
9.02734375	0	2312	trigger	203
10.02734375	0	2568	trigger	101
10.21484375	0	2616	trigger	3
10.33984375	0	2648	trigger	2
10.49609375	0	2688	trigger	1
10.65234375	0	2728	trigger	4
10.80859375	0	2768	trigger	1
10.96484375	0	2808	trigger	3
11.12109375	0	2848	trigger	2
11.24609375	0	2880	trigger	3
11.40234375	0	2920	trigger	2
11.55859375	0	2960	trigger	1
11.71484375	0	3000	trigger	4
11.87109375	0	3040	trigger	2
12.02734375	0	3080	trigger	3
12.15234375	0	3112	trigger	4
12.30859375	0	3152	trigger	1
12.46484375	0	3192	trigger	3
12.62109375	0	3232	trigger	4
12.77734375	0	3272	trigger	2
12.90234375	0	3304	trigger	1
13.08984375	0	3352	trigger	3
13.21484375	0	3384	trigger	1
13.37109375	0	3424	trigger	2
13.52734375	0	3464	trigger	4
13.68359375	0	3504	trigger	2
13.83984375	0	3544	trigger	4
13.96484375	0	3576	trigger	3
14.12109375	0	3616	trigger	1
14.27734375	0	3656	trigger	2
14.43359375	0	3696	trigger	3
14.58984375	0	3736	trigger	4
14.71484375	0	3768	trigger	1
14.90234375	0	3816	trigger	3
15.02734375	0	3848	trigger	2
15.18359375	0	3888	trigger	4
15.33984375	0	3928	trigger	1
15.49609375	0	3968	trigger	2
15.65234375	0	4008	trigger	1
15.77734375	0	4040	trigger	3
15.96484375	0	4088	trigger	4
16.08984375	0	4120	trigger	1
16.24609375	0	4160	trigger	2
16.40234375	0	4200	trigger	4
16.55859375	0	4240	trigger	3
16.68359375	0	4272	trigger	2
16.83984375	0	4312	trigger	3
16.99609375	0	4352	trigger	4
17.15234375	0	4392	trigger	1
17.30859375	0	4432	trigger	2
17.46484375	0	4472	trigger	1
17.62109375	0	4512	trigger	4
17.74609375	0	4544	trigger	3
17.90234375	0	4584	trigger	1
18.05859375	0	4624	trigger	2
18.21484375	0	4664	trigger	4
18.37109375	0	4704	trigger	3
18.52734375	0	4744	trigger	4
18.65234375	0	4776	trigger	1
18.80859375	0	4816	trigger	3
18.96484375	0	4856	trigger	2
19.12109375	0	4896	trigger	3
19.27734375	0	4936	trigger	2
19.43359375	0	4976	trigger	4
19.55859375	0	5008	trigger	1
19.71484375	0	5048	trigger	4
19.87109375	0	5088	trigger	1
20.02734375	0	5128	trigger	2
20.18359375	0	5168	trigger	3
20.33984375	0	5208	trigger	4
20.46484375	0	5240	trigger	1
20.62109375	0	5280	trigger	2
20.77734375	0	5320	trigger	3
20.93359375	0	5360	trigger	2
21.08984375	0	5400	trigger	3
21.21484375	0	5432	trigger	1
21.40234375	0	5480	trigger	4
21.52734375	0	5512	trigger	2
21.68359375	0	5552	trigger	4
21.83984375	0	5592	trigger	3
21.99609375	0	5632	trigger	1
22.15234375	0	5672	trigger	4
22.30859375	0	5712	trigger	2
22.43359375	0	5744	trigger	1
22.58984375	0	5784	trigger	3
22.74609375	0	5824	trigger	4
22.90234375	0	5864	trigger	2
23.05859375	0	5904	trigger	3
23.21484375	0	5944	trigger	1
23.33984375	0	5976	trigger	3
23.49609375	0	6016	trigger	1
23.65234375	0	6056	trigger	2
23.80859375	0	6096	trigger	4
23.96484375	0	6136	trigger	3
24.08984375	0	6168	trigger	4
24.24609375	0	6208	trigger	1
24.40234375	0	6248	trigger	2
24.55859375	0	6288	trigger	4
24.71484375	0	6328	trigger	2
24.87109375	0	6368	trigger	3
24.99609375	0	6400	trigger	1
25.15234375	0	6440	trigger	2
25.30859375	0	6480	trigger	1
25.46484375	0	6520	trigger	3
25.62109375	0	6560	trigger	4
25.77734375	0	6600	trigger	3
25.93359375	0	6640	trigger	4
26.05859375	0	6672	trigger	2
26.21484375	0	6712	trigger	1
26.37109375	0	6752	trigger	2
26.52734375	0	6792	trigger	4
26.68359375	0	6832	trigger	3
26.80859375	0	6864	trigger	1
26.96484375	0	6904	trigger	2
27.12109375	0	6944	trigger	1
27.27734375	0	6984	trigger	3
27.43359375	0	7024	trigger	4
27.58984375	0	7064	trigger	2
27.71484375	0	7096	trigger	4
27.87109375	0	7136	trigger	1
28.02734375	0	7176	trigger	3
28.18359375	0	7216	trigger	1
28.33984375	0	7256	trigger	3
28.49609375	0	7296	trigger	2
28.62109375	0	7328	trigger	4
28.77734375	0	7368	trigger	1
28.93359375	0	7408	trigger	3
29.08984375	0	7448	trigger	2
29.24609375	0	7488	trigger	4
29.40234375	0	7528	trigger	2
29.52734375	0	7560	trigger	4
29.68359375	0	7600	trigger	3
29.83984375	0	7640	trigger	1
29.99609375	0	7680	trigger	3
30.15234375	0	7720	trigger	4
30.27734375	0	7752	trigger	1
30.46484375	0	7800	trigger	2
30.58984375	0	7832	trigger	1
30.74609375	0	7872	trigger	2
30.90234375	0	7912	trigger	4
31.05859375	0	7952	trigger	3
31.21484375	0	7992	trigger	4
31.33984375	0	8024	trigger	3
31.49609375	0	8064	trigger	1
31.65234375	0	8104	trigger	2
31.80859375	0	8144	trigger	3
31.96484375	0	8184	trigger	2
32.12109375	0	8224	trigger	1
32.24609375	0	8256	trigger	4
32.40234375	0	8296	trigger	1
32.55859375	0	8336	trigger	4
32.71484375	0	8376	trigger	3
32.87109375	0	8416	trigger	2
33.02734375	0	8456	trigger	1
33.15234375	0	8488	trigger	2
33.33984375	0	8536	trigger	3
33.46484375	0	8568	trigger	4
33.62109375	0	8608	trigger	1
33.77734375	0	8648	trigger	4
33.93359375	0	8688	trigger	3
34.08984375	0	8728	trigger	2
34.21484375	0	8760	trigger	4
34.37109375	0	8800	trigger	3
34.52734375	0	8840	trigger	2
34.68359375	0	8880	trigger	1
34.83984375	0	8920	trigger	3
34.96484375	0	8952	trigger	1
35.12109375	0	8992	trigger	2
35.27734375	0	9032	trigger	4
35.43359375	0	9072	trigger	2
35.58984375	0	9112	trigger	1
35.74609375	0	9152	trigger	4
35.90234375	0	9192	trigger	3
36.02734375	0	9224	trigger	1
36.21484375	0	9272	trigger	2
36.33984375	0	9304	trigger	4
36.49609375	0	9344	trigger	3
36.65234375	0	9384	trigger	1
36.80859375	0	9424	trigger	3
36.96484375	0	9464	trigger	4
37.08984375	0	9496	trigger	2
37.24609375	0	9536	trigger	4
37.40234375	0	9576	trigger	3
37.55859375	0	9616	trigger	2
37.71484375	0	9656	trigger	1
37.83984375	0	9688	trigger	2
37.99609375	0	9728	trigger	4
38.15234375	0	9768	trigger	3
38.30859375	0	9808	trigger	1
38.46484375	0	9848	trigger	4
38.62109375	0	9888	trigger	2
38.77734375	0	9928	trigger	1
38.90234375	0	9960	trigger	3
39.05859375	0	10000	trigger	4
39.21484375	0	10040	trigger	2
39.37109375	0	10080	trigger	1
39.49609375	0	10112	trigger	3
39.68359375	0	10160	trigger	2
39.80859375	0	10192	trigger	3
39.96484375	0	10232	trigger	4
40.02734375	0	10248	trigger	200
45.02734375	0	11528	trigger	201
47.02734375	0	12040	trigger	202
