onset	duration	sample	type	value
5.02734375	0	1288	trigger	201
7.02734375	0	1800	trigger	202
9.02734375	0	2312	trigger	203
10.02734375	0	2568	trigger	106
10.18359375	0	2608	trigger	3
10.33984375	0	2648	trigger	5
10.49609375	0	2688	trigger	1
10.65234375	0	2728	trigger	7
10.80859375	0	2768	trigger	6
10.93359375	0	2800	trigger	4
11.08984375	0	2840	trigger	6
11.24609375	0	2880	trigger	4
11.40234375	0	2920	trigger	1
11.55859375	0	2960	trigger	5
11.71484375	0	3000	trigger	7
11.87109375	0	3040	trigger	2
12.02734375	0	3080	trigger	3
12.15234375	0	3112	trigger	1
12.30859375	0	3152	trigger	7
12.46484375	0	3192	trigger	3
12.62109375	0	3232	trigger	4
12.77734375	0	3272	trigger	2
12.90234375	0	3304	trigger	5
13.08984375	0	3352	trigger	6
13.21484375	0	3384	trigger	4
13.37109375	0	3424	trigger	2
13.52734375	0	3464	trigger	3
13.65234375	0	3496	trigger	7
13.83984375	0	3544	trigger	6
13.96484375	0	3576	trigger	5
14.12109375	0	3616	trigger	1
14.27734375	0	3656	trigger	4
14.43359375	0	3696	trigger	6
14.55859375	0	3728	trigger	7
14.74609375	0	3776	trigger	5
14.87109375	0	3808	trigger	3
15.02734375	0	3848	trigger	2
15.18359375	0	3888	trigger	1
15.33984375	0	3928	trigger	2
15.49609375	0	3968	trigger	1
15.62109375	0	4000	trigger	7
15.77734375	0	4040	trigger	6
15.93359375	0	4080	trigger	3
16.08984375	0	4120	trigger	5
16.24609375	0	4160	trigger	4
16.40234375	0	4200	trigger	5
16.52734375	0	4232	trigger	3
16.68359375	0	4272	trigger	2
16.83984375	0	4312	trigger	4
16.99609375	0	4352	trigger	6
17.15234375	0	4392	trigger	1
17.30859375	0	4432	trigger	7
17.43359375	0	4464	trigger	3
17.58984375	0	4504	trigger	1
17.74609375	0	4544	trigger	6
17.90234375	0	4584	trigger	7
18.05859375	0	4624	trigger	2
18.21484375	0	4664	trigger	4
18.37109375	0	4704	trigger	5
18.49609375	0	4736	trigger	6
18.65234375	0	4776	trigger	5
18.80859375	0	4816	trigger	3
18.96484375	0	4856	trigger	1
19.12109375	0	4896	trigger	7
19.27734375	0	4936	trigger	2
19.40234375	0	4968	trigger	4
19.55859375	0	5008	trigger	5
19.71484375	0	5048	trigger	4
19.87109375	0	5088	trigger	2
20.02734375	0	5128	trigger	1
20.15234375	0	5160	trigger	6
20.33984375	0	5208	trigger	3
20.46484375	0	5240	trigger	7
20.62109375	0	5280	trigger	5
20.77734375	0	5320	trigger	6
20.93359375	0	5360	trigger	2
21.08984375	0	5400	trigger	3
21.21484375	0	5432	trigger	1
21.37109375	0	5472	trigger	7
21.52734375	0	5512	trigger	4
21.68359375	0	5552	trigger	1
21.83984375	0	5592	trigger	4
21.99609375	0	5632	trigger	6
22.12109375	0	5664	trigger	7
22.27734375	0	5704	trigger	2
22.43359375	0	5744	trigger	5
22.58984375	0	5784	trigger	3
22.74609375	0	5824	trigger	7
22.87109375	0	5856	trigger	4
23.05859375	0	5904	trigger	2
23.18359375	0	5936	trigger	1
23.33984375	0	5976	trigger	5
23.49609375	0	6016	trigger	3
23.65234375	0	6056	trigger	6
23.80859375	0	6096	trigger	2
23.93359375	0	6128	trigger	6
24.08984375	0	6168	trigger	3
24.24609375	0	6208	trigger	7
24.40234375	0	6248	trigger	1
24.55859375	0	6288	trigger	5
24.68359375	0	6320	trigger	4
24.83984375	0	6360	trigger	2
24.99609375	0	6400	trigger	6
25.15234375	0	6440	trigger	3
25.30859375	0	6480	trigger	4
25.46484375	0	6520	trigger	1
25.62109375	0	6560	trigger	7
25.74609375	0	6592	trigger	5
25.90234375	0	6632	trigger	4
26.05859375	0	6672	trigger	1
26.21484375	0	6712	trigger	7
26.37109375	0	6752	trigger	6
26.52734375	0	6792	trigger	3
26.65234375	0	6824	trigger	5
26.80859375	0	6864	trigger	2
26.96484375	0	6904	trigger	7
27.12109375	0	6944	trigger	2
27.27734375	0	6984	trigger	1
27.40234375	0	7016	trigger	4
27.55859375	0	7056	trigger	6
27.71484375	0	7096	trigger	5
27.87109375	0	7136	trigger	3
28.02734375	0	7176	trigger	5
28.18359375	0	7216	trigger	1
28.30859375	0	7248	trigger	2
28.49609375	0	7296	trigger	6
28.62109375	0	7328	trigger	4
28.77734375	0	7368	trigger	7
28.93359375	0	7408	trigger	3
29.08984375	0	7448	trigger	5
29.21484375	0	7480	trigger	3
29.40234375	0	7528	trigger	4
29.52734375	0	7560	trigger	7
29.68359375	0	7600	trigger	6
29.83984375	0	7640	trigger	2
29.99609375	0	7680	trigger	1
30.15234375	0	7720	trigger	5
30.27734375	0	7752	trigger	7
30.43359375	0	7792	trigger	4
30.58984375	0	7832	trigger	1
30.74609375	0	7872	trigger	2
30.90234375	0	7912	trigger	6
31.05859375	0	7952	trigger	3
31.18359375	0	7984	trigger	5
31.33984375	0	8024	trigger	7
31.49609375	0	8064	trigger	3
31.65234375	0	8104	trigger	1
31.80859375	0	8144	trigger	2
31.93359375	0	8176	trigger	6
32.12109375	0	8224	trigger	4
32.24609375	0	8256	trigger	6
32.40234375	0	8296	trigger	1
32.55859375	0	8336	trigger	5
32.71484375	0	8376	trigger	2
32.83984375	0	8408	trigger	3
32.99609375	0	8448	trigger	4
33.18359375	0	8496	trigger	7
33.30859375	0	8528	trigger	5
33.46484375	0	8568	trigger	4
33.62109375	0	8608	trigger	3
33.77734375	0	8648	trigger	7
33.93359375	0	8688	trigger	1
34.05859375	0	8720	trigger	6
34.21484375	0	8760	trigger	2
34.37109375	0	8800	trigger	6
34.52734375	0	8840	trigger	2
34.68359375	0	8880	trigger	3
34.83984375	0	8920	trigger	4
34.96484375	0	8952	trigger	7
35.12109375	0	8992	trigger	1
35.27734375	0	9032	trigger	5
35.43359375	0	9072	trigger	2
35.58984375	0	9112	trigger	7
35.71484375	0	9144	trigger	3
35.90234375	0	9192	trigger	5
36.02734375	0	9224	trigger	1
36.18359375	0	9264	trigger	6
36.33984375	0	9304	trigger	4
36.49609375	0	9344	trigger	1
36.65234375	0	9384	trigger	4
36.77734375	0	9416	trigger	2
36.93359375	0	9456	trigger	7
37.08984375	0	9496	trigger	3
37.24609375	0	9536	trigger	6
37.40234375	0	9576	trigger	5
37.52734375	0	9608	trigger	7
37.68359375	0	9648	trigger	4
37.83984375	0	9688	trigger	5
37.99609375	0	9728	trigger	2
38.15234375	0	9768	trigger	3
38.30859375	0	9808	trigger	6
38.43359375	0	9840	trigger	1
38.62109375	0	9888	trigger	5
38.74609375	0	9920	trigger	2
38.90234375	0	9960	trigger	4
39.05859375	0	10000	trigger	1
39.21484375	0	10040	trigger	3
39.33984375	0	10072	trigger	6
39.52734375	0	10120	trigger	7
39.65234375	0	10152	trigger	1
39.80859375	0	10192	trigger	7
39.96484375	0	10232	trigger	5
40.02734375	0	10248	trigger	200
45.02734375	0	11528	trigger	201
47.02734375	0	12040	trigger	202
