onset	duration	sample	type	value
5.02734375	0	1288	trigger	201
7.02734375	0	1800	trigger	202
9.02734375	0	2312	trigger	203
10.02734375	0	2568	trigger	104
10.18359375	0	2608	trigger	2
10.33984375	0	2648	trigger	3
10.49609375	0	2688	trigger	4
10.65234375	0	2728	trigger	3
10.77734375	0	2760	trigger	1
10.93359375	0	2800	trigger	2
11.08984375	0	2840	trigger	4
11.24609375	0	2880	trigger	1
11.40234375	0	2920	trigger	4
11.55859375	0	2960	trigger	2
11.71484375	0	3000	trigger	3
11.83984375	0	3032	trigger	1
11.99609375	0	3072	trigger	2
12.15234375	0	3112	trigger	4
12.30859375	0	3152	trigger	3
12.46484375	0	3192	trigger	1
12.58984375	0	3224	trigger	2
12.77734375	0	3272	trigger	4
12.90234375	0	3304	trigger	3
13.05859375	0	3344	trigger	2
13.21484375	0	3384	trigger	3
13.37109375	0	3424	trigger	4
13.52734375	0	3464	trigger	1
13.65234375	0	3496	trigger	3
13.80859375	0	3536	trigger	1
13.96484375	0	3576	trigger	4
14.12109375	0	3616	trigger	2
14.27734375	0	3656	trigger	1
14.43359375	0	3696	trigger	2
14.58984375	0	3736	trigger	4
14.71484375	0	3768	trigger	3
14.87109375	0	3808	trigger	4
15.02734375	0	3848	trigger	3
15.18359375	0	3888	trigger	2
15.33984375	0	3928	trigger	1
15.46484375	0	3960	trigger	4
15.62109375	0	4000	trigger	1
15.77734375	0	4040	trigger	3
15.93359375	0	4080	trigger	2
16.08984375	0	4120	trigger	3
16.21484375	0	4152	trigger	4
16.40234375	0	4200	trigger	2
16.52734375	0	4232	trigger	1
16.68359375	0	4272	trigger	4
16.83984375	0	4312	trigger	1
16.99609375	0	4352	trigger	3
17.15234375	0	4392	trigger	2
17.27734375	0	4424	trigger	3
17.43359375	0	4464	trigger	2
17.58984375	0	4504	trigger	4
17.74609375	0	4544	trigger	1
17.90234375	0	4584	trigger	3
18.05859375	0	4624	trigger	1
18.18359375	0	4656	trigger	4
18.37109375	0	4704	trigger	2
18.49609375	0	4736	trigger	4
18.65234375	0	4776	trigger	2
18.80859375	0	4816	trigger	1
18.96484375	0	4856	trigger	3
19.12109375	0	4896	trigger	1
19.24609375	0	4928	trigger	3
19.40234375	0	4968	trigger	4
19.55859375	0	5008	trigger	2
19.71484375	0	5048	trigger	4
19.87109375	0	5088	trigger	2
20.02734375	0	5128	trigger	1
20.15234375	0	5160	trigger	3
20.30859375	0	5200	trigger	4
20.46484375	0	5240	trigger	3
20.62109375	0	5280	trigger	2
20.77734375	0	5320	trigger	1
20.90234375	0	5352	trigger	3
21.08984375	0	5400	trigger	1
21.21484375	0	5432	trigger	4
21.37109375	0	5472	trigger	2
21.52734375	0	5512	trigger	1
21.68359375	0	5552	trigger	2
21.83984375	0	5592	trigger	4
21.96484375	0	5624	trigger	3
22.15234375	0	5672	trigger	1
22.27734375	0	5704	trigger	4
22.43359375	0	5744	trigger	2
22.58984375	0	5784	trigger	3
22.74609375	0	5824	trigger	4
22.90234375	0	5864	trigger	3
23.02734375	0	5896	trigger	1
23.18359375	0	5936	trigger	2
23.33984375	0	5976	trigger	1
23.49609375	0	6016	trigger	2
23.65234375	0	6056	trigger	4
23.77734375	0	6088	trigger	3
23.96484375	0	6136	trigger	2
24.08984375	0	6168	trigger	1
24.24609375	0	6208	trigger	4
24.40234375	0	6248	trigger	3
24.55859375	0	6288	trigger	1
24.71484375	0	6328	trigger	2
24.83984375	0	6360	trigger	4
24.99609375	0	6400	trigger	3
25.15234375	0	6440	trigger	2
25.30859375	0	6480	trigger	1
25.46484375	0	6520	trigger	4
25.62109375	0	6560	trigger	3
25.77734375	0	6600	trigger	4
25.90234375	0	6632	trigger	1
26.05859375	0	6672	trigger	3
26.21484375	0	6712	trigger	2
26.37109375	0	6752	trigger	1
26.52734375	0	6792	trigger	2
26.65234375	0	6824	trigger	3
26.80859375	0	6864	trigger	4
26.96484375	0	6904	trigger	2
27.12109375	0	6944	trigger	4
27.27734375	0	6984	trigger	3
27.43359375	0	7024	trigger	1
27.55859375	0	7056	trigger	3
27.71484375	0	7096	trigger	4
27.87109375	0	7136	trigger	2
28.02734375	0	7176	trigger	1
28.18359375	0	7216	trigger	3
28.30859375	0	7248	trigger	1
28.46484375	0	7288	trigger	4
28.62109375	0	7328	trigger	2
28.77734375	0	7368	trigger	3
28.93359375	0	7408	trigger	4
29.08984375	0	7448	trigger	1
29.24609375	0	7488	trigger	2
29.37109375	0	7520	trigger	1
29.52734375	0	7560	trigger	2
29.68359375	0	7600	trigger	4
29.83984375	0	7640	trigger	3
29.99609375	0	7680	trigger	1
30.15234375	0	7720	trigger	2
30.27734375	0	7752	trigger	4
30.46484375	0	7800	trigger	3
30.58984375	0	7832	trigger	4
30.74609375	0	7872	trigger	1
30.90234375	0	7912	trigger	2
31.05859375	0	7952	trigger	3
31.18359375	0	7984	trigger	4
31.37109375	0	8032	trigger	3
31.49609375	0	8064	trigger	1
31.65234375	0	8104	trigger	2
31.80859375	0	8144	trigger	3
31.96484375	0	8184	trigger	2
32.12109375	0	8224	trigger	4
32.24609375	0	8256	trigger	1
32.40234375	0	8296	trigger	3
32.55859375	0	8336	trigger	1
32.71484375	0	8376	trigger	4
32.87109375	0	8416	trigger	2
33.02734375	0	8456	trigger	4
33.18359375	0	8496	trigger	1
33.30859375	0	8528	trigger	2
33.46484375	0	8568	trigger	3
33.62109375	0	8608	trigger	2
33.77734375	0	8648	trigger	4
33.90234375	0	8680	trigger	3
34.08984375	0	8728	trigger	1
34.21484375	0	8760	trigger	3
34.37109375	0	8800	trigger	4
34.52734375	0	8840	trigger	1
34.68359375	0	8880	trigger	2
34.83984375	0	8920	trigger	1
34.96484375	0	8952	trigger	4
35.12109375	0	8992	trigger	2
35.27734375	0	9032	trigger	3
35.43359375	0	9072	trigger	1
35.58984375	0	9112	trigger	2
35.74609375	0	9152	trigger	3
35.90234375	0	9192	trigger	4
36.02734375	0	9224	trigger	3
36.18359375	0	9264	trigger	2
36.33984375	0	9304	trigger	4
36.49609375	0	9344	trigger	1
36.65234375	0	9384	trigger	2
36.80859375	0	9424	trigger	4
36.96484375	0	9464	trigger	3
37.08984375	0	9496	trigger	1
37.24609375	0	9536	trigger	3
37.40234375	0	9576	trigger	4
37.55859375	0	9616	trigger	1
37.71484375	0	9656	trigger	2
37.83984375	0	9688	trigger	3
37.99609375	0	9728	trigger	1
38.15234375	0	9768	trigger	2
38.30859375	0	9808	trigger	4
38.46484375	0	9848	trigger	1
38.58984375	0	9880	trigger	4
38.74609375	0	9920	trigger	3
38.90234375	0	9960	trigger	2
39.05859375	0	10000	trigger	3
39.21484375	0	10040	trigger	1
39.37109375	0	10080	trigger	2
39.52734375	0	10120	trigger	4
39.65234375	0	10152	trigger	3
39.80859375	0	10192	trigger	2
39.96484375	0	10232	trigger	1
40.02734375	0	10248	trigger	200
45.02734375	0	11528	trigger	201
47.02734375	0	12040	trigger	202
